naf_version,code,niveau_defense,nature_dualite,famille,justification,nature_preuve,usages_civils,usages_defense,source_url,source_reference,source_secondaire_url,source_secondaire_reference,niveau_confiance,commentaire
NAF 2025,25.30Y,explicite_industriel,,armement,Le libellé officiel est « Fabrication d'armes et de munitions » : l'objet militaire est explicite dans l'intitulé de la sous-classe.,libelle_officiel,"Armes de chasse et de tir sportif (CPF 25.40.12 : revolvers, pistolets, armes à feu de chasse)",Armes militaires et munitions,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/25.30Y,INSEE — NAF 2025 — sous-classe 25.30Y,https://www.insee.fr/fr/metadonnees/cpfr21/sousCategorie/25.40.12,"INSEE — CPF rév. 2.1 — 25.40.12 (revolvers, pistolets, armes à feu de chasse)",élevé,"Couvre notamment armes légères, artillerie et munitions. Même ce code explicitement militaire a des débouchés civils (chasse, tir sportif) : « explicite » ne veut pas dire « 100 % militaire »."
NAF 2025,30.13Y,explicite_industriel,,naval,Le libellé officiel est « Construction de bateaux et navires militaires » : la mention « militaires » figure dans l'intitulé.,libelle_officiel,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/30.13Y,INSEE — NAF 2025 — sous-classe 30.13Y,,,élevé,La NAF 2025 distingue cette sous-classe de 30.11Y (navires et structures flottantes civiles).
NAF 2025,30.32Y,explicite_industriel,,aeronautique_spatial,Le libellé officiel est « Construction aéronautique et spatiale militaire » : la mention « militaire » figure explicitement dans l'intitulé.,libelle_officiel,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/30.32Y,INSEE — NAF 2025 — sous-classe 30.32Y,,,élevé,Sous-classe distinguée de 30.31Y (construction aéronautique et spatiale civile) dans la NAF 2025.
NAF 2025,30.40Y,explicite_industriel,,terrestre,Le libellé officiel est « Construction de véhicules militaires de combat » : l'objet militaire est explicite.,libelle_officiel,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/30.40Y,INSEE — NAF 2025 — sous-classe 30.40Y,,,élevé,Chars et autres véhicules blindés de combat.
NAF 2025,33.18G,explicite_industriel,,maintenance,Le libellé officiel est « Réparation et entretien d'aéronefs et d'engins spatiaux militaires » : la mention « militaires » figure dans l'intitulé.,libelle_officiel,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/33.18G,INSEE — NAF 2025 — sous-classe 33.18G,,,élevé,Pendant militaire de 33.16Y (réparation et entretien d'aéronefs et d'engins spatiaux civils).
NAF 2025,33.18H,explicite_industriel,,maintenance,"Le libellé officiel est « Réparation et entretien de véhicules de combat, de navires et de bateaux militaires » : l'objet militaire est explicite.",libelle_officiel,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/33.18H,INSEE — NAF 2025 — sous-classe 33.18H,,,élevé,Pendant militaire de 33.15Y (réparation et entretien de bateaux et navires civils).
NAF 2025,84.22Y,administration_defense,,administration,"Le libellé « Défense » désigne ici l'administration de la défense nationale par la sphère publique (état-major, forces armées, services du ministère). AVERTISSEMENT : ce code ne désigne PAS les entreprises industrielles de défense.",libelle_officiel,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/84.22Y,INSEE — NAF 2025 — sous-classe 84.22Y,,,élevé,"Ne pas confondre avec l'industrie de défense : ce code relève de la section O (administration publique), pas de l'industrie manufacturière."
NAF 2025,26.51Y,dual_officiel,dual_naf_explicite,optique_instruments,"Héritière de 26.51A/26.51B (NAF rév.2), dont la note officielle Insee couvrait à la fois la navigation civile et des matériels explicitement militaires (conduite de tir, autodirecteurs de missiles, contre-mesures électroniques). La nomenclature de produits associée (CPF 26.51.20) couvre les appareils radar et de radionavigation, aux débouchés civils comme militaires.",note_officielle_insee,"Instruments de navigation aérienne et maritime civiles, radars civils (contrôle aérien, météorologie), instrumentation de mesure pour l'industrie","Conduite de tir, autodirecteurs de missiles, contre-mesures électroniques, radars militaires (périmètre hérité de 26.51A, NAF rév.2)",https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/26.51Y,INSEE — NAF 2025 — sous-classe 26.51Y,https://www.insee.fr/fr/metadonnees/cpfr21/sousCategorie/26.51.20,INSEE — CPF rév. 2.1 — 26.51.20 (appareils radar et de radionavigation),élevé,
NAF 2025,26.70Y,dual_officiel,dual_naf_explicite,optique_instruments,"La même sous-classe couvre des matériels optiques civils (jumelles, microscopes, objectifs) et, d'après la nomenclature de produits associée (CPF 26.70), la fabrication de matériel de visée optique équipant les fusils.",note_officielle_insee,"Jumelles, longues-vues, microscopes, objectifs et matériel photographique",Matériel de visée optique équipant les armes ; optronique,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/26.70Y,INSEE — NAF 2025 — sous-classe 26.70Y,https://www.insee.fr/fr/metadonnees/cpfr21/classe/26.70,INSEE — CPF rév. 2.1 — classe 26.70 (matériel optique et photographique),élevé,
NAF 2025,26.11Y,dual_officiel,dual_refd_observe,electronique,"Le secteur des produits informatiques, électroniques et optiques est le deuxième secteur industriel des entreprises de défense recensées par l'enquête EDIS du ministère des Armées (adossée au répertoire REFD), alors que l'essentiel de ses débouchés est civil. L'électronique relève par ailleurs des catégories de biens à double usage de l'annexe I du règlement (UE) 2021/821.",enquete_ssm_refd,"Électronique grand public, automobile, télécoms, équipements industriels","Composants pour systèmes d'armes, radars, guerre électronique, communications militaires",https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/26.11Y,INSEE — NAF 2025 — sous-classe 26.11Y,https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,"Ministère des Armées — SSM/OED, EcoDef Statistiques n°265 (enquête EDIS)",moyen,Observer des fournisseurs de la Défense dans ce code ne signifie pas que toutes les entreprises du code travaillent pour la Défense.
NAF 2025,26.12Y,dual_officiel,dual_refd_observe,electronique,"Le secteur des produits informatiques, électroniques et optiques est le deuxième secteur industriel des entreprises de défense recensées par l'enquête EDIS du ministère des Armées (adossée au REFD), alors que l'essentiel de ses débouchés est civil. Les cartes et assemblages électroniques relèvent des catégories de biens à double usage de l'annexe I du règlement (UE) 2021/821.",enquete_ssm_refd,"Cartes électroniques pour l'industrie, l'automobile, les télécoms et l'électronique grand public","Cartes et assemblages électroniques pour systèmes militaires (radars, missiles, communications)",https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/26.12Y,INSEE — NAF 2025 — sous-classe 26.12Y,https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,"Ministère des Armées — SSM/OED, EcoDef Statistiques n°265 (enquête EDIS)",moyen,Observer des fournisseurs de la Défense dans ce code ne signifie pas que toutes les entreprises du code travaillent pour la Défense.
NAF 2025,26.20Y,dual_officiel,dual_refd_observe,electronique,"Le secteur des produits informatiques, électroniques et optiques est le deuxième secteur industriel des entreprises de défense recensées par l'enquête EDIS du ministère des Armées (adossée au REFD), alors que l'essentiel de ses débouchés est civil. Les calculateurs relèvent de la catégorie 4 (« calculateurs ») de l'annexe I du règlement (UE) 2021/821 sur les biens à double usage.",enquete_ssm_refd,"Ordinateurs et serveurs pour les entreprises, les administrations et le grand public","Calculateurs embarqués et systèmes d'information militaires",https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/26.20Y,INSEE — NAF 2025 — sous-classe 26.20Y,https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,"Ministère des Armées — SSM/OED, EcoDef Statistiques n°265 (enquête EDIS)",moyen,Observer des fournisseurs de la Défense dans ce code ne signifie pas que toutes les entreprises du code travaillent pour la Défense.
NAF 2025,26.30Y,dual_officiel,dual_refd_observe,electronique,"Le secteur des produits informatiques, électroniques et optiques est le deuxième secteur industriel des entreprises de défense recensées par l'enquête EDIS du ministère des Armées (adossée au REFD), alors que l'essentiel de ses débouchés est civil. Les équipements de communication relèvent de la catégorie 5 (« télécommunications et sécurité de l'information ») de l'annexe I du règlement (UE) 2021/821.",enquete_ssm_refd,"Équipements de réseaux et de radiocommunication civils (téléphonie, radiodiffusion, réseaux d'entreprise)",Systèmes de communication militaires et radios tactiques,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/26.30Y,INSEE — NAF 2025 — sous-classe 26.30Y,https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,"Ministère des Armées — SSM/OED, EcoDef Statistiques n°265 (enquête EDIS)",moyen,Observer des fournisseurs de la Défense dans ce code ne signifie pas que toutes les entreprises du code travaillent pour la Défense.
NAF rév.2,25.40Z,explicite_industriel,,armement,Le libellé officiel est « Fabrication d'armes et de munitions » : l'objet militaire est explicite dans l'intitulé.,libelle_officiel,"Armes de chasse et de tir sportif (CPF 25.40.12 : revolvers, pistolets, armes à feu de chasse)",Armes militaires et munitions,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/25.40Z,INSEE — NAF rév.2 — sous-classe 25.40Z,https://www.insee.fr/fr/metadonnees/cpfr21/sousCategorie/25.40.12,"INSEE — CPF rév. 2.1 — 25.40.12 (revolvers, pistolets, armes à feu de chasse)",élevé,"L'activité correspond pour l'essentiel à 25.30Y en NAF 2025 ; consulter la table de correspondance officielle Insee pour le détail. Même ce code explicitement militaire a des débouchés civils (chasse, tir sportif)."
NAF rév.2,30.40Z,explicite_industriel,,terrestre,Le libellé officiel est « Construction de véhicules militaires de combat » : l'objet militaire est explicite.,libelle_officiel,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/30.40Z,INSEE — NAF rév.2 — sous-classe 30.40Z,,,élevé,Correspond à 30.40Y en NAF 2025.
NAF rév.2,30.30Z,dual_officiel,dual_naf_explicite,aeronautique_spatial,"Le libellé « Construction aéronautique et spatiale » ne distingue pas les volets civil et militaire : la même sous-classe couvrait les deux. La NAF 2025 les sépare désormais (30.31Y civile, 30.32Y militaire), ce qui confirme le caractère mixte du périmètre 2008.",scission_naf_2025,"Avions, hélicoptères et lanceurs civils","Aéronefs et engins spatiaux militaires (périmètre isolé en 30.32Y par la NAF 2025)",https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/30.30Z,INSEE — NAF rév.2 — sous-classe 30.30Z ; NAF 2025 — 30.31Y et 30.32Y,,,élevé,Exemple pédagogique central de la page : voir « Prenons l'aéronautique ».
NAF rév.2,30.11Z,dual_officiel,dual_naf_explicite,naval,"Le libellé « Construction de navires et de structures flottantes » ne distingue pas les volets civil et militaire. La NAF 2025 les sépare désormais (30.11Y civils, 30.13Y militaires), ce qui confirme le caractère mixte du périmètre 2008.",scission_naf_2025,Navires de commerce et structures flottantes civiles,Navires militaires (périmètre isolé en 30.13Y par la NAF 2025),https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/30.11Z,INSEE — NAF rév.2 — sous-classe 30.11Z ; NAF 2025 — 30.11Y et 30.13Y,,,élevé,
NAF rév.2,33.15Z,dual_officiel,dual_naf_explicite,maintenance,"Le libellé « Réparation et maintenance navale » ne distingue pas les volets civil et militaire. La NAF 2025 les sépare désormais (33.15Y navires civils, 33.18H navires et véhicules militaires).",scission_naf_2025,Réparation et entretien de navires civils,Maintenance de navires militaires (périmètre isolé en 33.18H par la NAF 2025),https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/33.15Z,INSEE — NAF rév.2 — sous-classe 33.15Z ; NAF 2025 — 33.15Y et 33.18H,,,élevé,
NAF rév.2,33.16Z,dual_officiel,dual_naf_explicite,maintenance,"Le libellé « Réparation et maintenance d'aéronefs et d'engins spatiaux » ne distingue pas les volets civil et militaire. La NAF 2025 les sépare désormais (33.16Y civils, 33.18G militaires).",scission_naf_2025,Maintenance d'aéronefs civils,Maintenance d'aéronefs et d'engins spatiaux militaires (périmètre isolé en 33.18G par la NAF 2025),https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/33.16Z,INSEE — NAF rév.2 — sous-classe 33.16Z ; NAF 2025 — 33.16Y et 33.18G,,,élevé,
